BANK_TXN_ID,PAYMENT_ID,SET_DATE,SET_AMOUNT,SET_STATUS
B1001,P001,03-04-2025,250001,SUCCESS
B1002,P002,04-04-2025,,SUCCESS
B1003,P003,05-04-2025,16874,SUCCESS
B1004,P004,06-04-2025,84037,SUCCESS
B1005,P005,07-04-2025,,SUCCESS
B1006,P006,08-04-2025,127452,SUCCESS
B1007,P007,09-04-2025,2947,SUCCESS
B1008,P008,10-04-2025,600000,SUCCESS
B1009,P009,11-04-2025,116502,SUCCESS
B1010,P010,12-04-2025,14200,SUCCESS
B1011,P011,13-04-2025,14600,SUCCESS
B1012,P012,14-04-2025,8437,SUCCESS
B1013,P013,15-04-2025,229191,SUCCESS
B1014,P014,19-04-2025,8403,SUCCESS
B1015,P015,20-04-2025,8800,SUCCESS
